Date,DeathsTotal,DeathsNew,DeathsNewAvg,CasesTotal,CasesNew,CasesNewAvg
9/14,1990,7,6,81391,336,421
9/15,1999,9,6,81775,384,414
9/16,2007,8,6,82192,417,404
9/17,2013,6,6,82609,417,398
9/18,2021,8,6,83238,629,406
9/19,2026,5,6,83621,383,403
9/20,2034,8,6,83924,303,402
9/21,2040,6,6,84269,345,413
9/22,2051,11,7,84813,544,431
9/23,2057,6,7,85397,584,437
9/24,2063,6,7,86423,1026,467
9/25,2070,7,7,87075,652,479
9/26,2074,4,7,87535,460,486
9/27,2081,7,7,87916,381,490
9/28,2088,7,7,88293,377,493
9/29,2093,5,7,88824,531,504
9/30,2101,8,7,89464,640,519
10/1,2111,10,7,90180,716,541
10/2,2118,7,7,90822,642,542
10/3,2124,6,7,91291,469,548
10/4,2128,4,7,91710,419,556
10/5,2136,8,7,92137,427,562
10/6,2147,11,7,92693,556,563
10/7,2152,5,7,93451,758,575
10/8,2159,7,7,94144,693,552
10/9,2166,7,7,94696,552,544
10/10,2169,3,7,95554,858,573
10/11,2172,3,7,95935,381,573
10/12,2184,12,7,96542,607,589
10/13,2188,4,7,97241,699,601
10/14,2197,9,7,97939,698,605
10/15,2201,4,6,98714,775,610
10/16,2206,5,6,99540,826,623
10/17,2212,6,6,100106,566,630
10/18,2222,10,7,100573,467,633
10/19,2232,10,7,101065,492,638
10/20,2238,6,7,101865,800,655
10/21,2249,11,7,102568,703,651
10/22,2260,11,7,103380,812,660
10/23,2267,7,7,104329,949,688
10/24,2278,11,8,105070,741,680
10/25,2286,8,8,105667,597,695
10/26,2295,9,8,106214,547,691
10/27,2305,10,8,106966,752,695
10/28,2317,12,9,107846,880,708
10/29,2321,4,9,108959,1113,732
10/30,2332,11,9,109937,978,743
10/31,2346,14,10,110813,876,765
11/1,2354,8,9,111853,1040,806
11/2,2359,5,9,112598,745,824
11/3,2369,10,9,114132,1534,876
11/4,2382,13,10,115256,1124,906
11/5,2394,12,10,117029,1773,975
11/6,2408,14,10,118778,1749,1032
11/7,2413,5,10,120228,1450,1083
11/8,2424,11,10,121474,1246,1129
11/9,2434,10,10,122894,1420,1191
11/10,2448,14,10,124556,1662,1256
11/11,2455,7,10,126582,2026,1338
11/12,2469,14,11,128828,2246,1419
11/13,2480,11,11,131148,2320,1515
11/14,2496,16,11,133398,2250,1613
11/15,2508,12,11,134976,1578,1652
11/16,2523,15,12,137568,2592,1784
11/17,2535,12,12,139127,1559,1785
11/18,2548,13,12,141239,2112,1856
11/19,2560,12,12,143413,2174,1885
11/20,2576,16,12,145289,1876,1894
11/21,2599,23,13,147937,2648,1979
11/22,2616,17,14,151496,3559,2144
11/23,2635,19,14,154778,3282,2277
11/24,2649,14,14,157798,3020,2374
11/25,2666,17,15,160671,2873,2435
11/26,2685,19,15,162737,2066,2422
11/27,2699,14,16,165131,2394,2427
11/28,2718,19,16,167238,2107,2417
11/29,2736,18,16,169507,2269,2467
11/30,2767,31,17,171968,2461,2457
12/1,2788,21,18,175041,3073,2565
12/2,2813,25,19,177366,2325,2581
12/3,2831,18,19,179449,2083,2574
12/4,2858,27,20,181335,1886,2575
12/5,2879,21,20,183086,1751,2511
12/6,2896,17,20,189157,6071,2690
12/7,2922,26,21,192952,3795,2727
12/8,2935,13,20,195990,3038,2728
12/9,2945,10,20,198986,2996,2737
12/10,2962,17,20,202080,3094,2810
12/11,2973,11,20,206172,4092,2932
12/12,2982,9,19,208597,2425,2954
12/13,2988,6,18,210688,2091,2942
12/14,2991,3,16,212462,1774,2892
12/15,3002,11,15,214131,1669,2792
12/16,3005,3,14,217205,3074,2846
